Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
1125,1147,62500383235736400,62500377372670000,54333189488918700,62500377372670072-54333189488918772r1471425752.m3u8.mp4,4572
1126,1148,62502130578588600,62502130140847700,53782875536890400,62502130140847736-53782875536890474r1471425372.m3u8.mp4,39229
1127,1149,62502298317194100,62502297606833800,37297144169742700,62502297606833826-37297144169742716r1471425452.m3u8.mp4,80646
1128,1150,62503265043452800,62503264303728200,52248810123966100,62503264303728296-52248810123966188r1471425913.m3u8.mp4,73644
1129,1151,62505103568381000,62505103271142000,53825700762756800,62505103271142043-53825700762756884r1471426790.m3u8.mp4,64953
1130,1152,62506743144883300,62506742900083300,52333209270099800,62506742900083334-52333209270099838r1471427572.m3u8.mp4,73301
1131,1153,62506854906307700,62506854298699400,51663525071820900,62506854298699448-51663525071820946r1471427625.m3u8.mp4,56207
1132,1155,62507012062680000,62507007587916900,51614244159886000,62507007587916925-51614244159886004r1471427698.m3u8.mp4,6965
1133,1156,62510526667129900,62510526311186600,47682196185552100,62510526311186639-47682196185552116r1471429376.m3u8.mp4,75806
1134,1157,62511313906537400,62511288493816000,41365734051282700,62511288493816051-41365734051282735r1471429739.m3u8.mp4,3460
1134,1157,62511313906537400,62511288493816000,41365734051282700,62511288493816051-41365734051282735r1471430117.m3u8.mp4,12902
1135,1158,62511334846600100,62511334645832800,53825700762756800,62511334645832859-53825700762756884r1471429761.m3u8.mp4,50101
1136,1159,62511825116701800,62511778174613100,52553573812156600,62511778174613146-52553573812156601r1471429973.m3u8.mp4,181795
1137,1160,62512142585664500,62512142020004500,51663525071820900,62512142020004515-51663525071820946r1471430146.m3u8.mp4,44031
1138,1161,62512559843415000,62512551730093700,55248708685537600,62512551730093765-55248708685537676r1471430342.m3u8.mp4,139884
1139,1162,62513827919930500,62513827282962100,25514913254267500,62513827282962148-25514913254267592r1471430950.m3u8.mp4,39874
1140,1163,62515257644917900,62515257259599000,52333209270099800,62515257259599054-52333209270099838r1471431632.m3u8.mp4,125758
1141,1164,62515375152538800,62515307916305100,55579094410080600,62515307916305108-55579094410080624r1471431656.m3u8.mp4,262
1142,1165,62515718338876400,62515684468334200,41365734051282700,62515684468334294-41365734051282735r1471431836.m3u8.mp4,6630
1142,1165,62515718338876400,62515684468334200,41365734051282700,62515684468334294-41365734051282735r1471432858.m3u8.mp4,6211
1142,1165,62515718338876400,62515684468334200,41365734051282700,62515684468334294-41365734051282735r1471433684.m3u8.mp4,8454
1142,1165,62515718338876400,62515684468334200,41365734051282700,62515684468334294-41365734051282735r1471434591.m3u8.mp4,98
1142,1165,62515718338876400,62515684468334200,41365734051282700,62515684468334294-41365734051282735r1471434649.m3u8.mp4,219
1143,1166,62516568408953900,62516557724525200,52172083005756100,62516557724525276-52172083005756174r1471432252.m3u8.mp4,46487
1144,1167,62517810363335800,62517809894137500,52248810123966100,62517809894137573-52248810123966188r1471432849.m3u8.mp4,129749
1145,1168,62518478744556600,62518471916798200,35552146497689300,62518471916798216-35552146497689326r1471433165.m3u8.mp4,39731
1146,1169,62519343641498700,62519342918542500,31045571313558700,62519342918542575-31045571313558736r1471433580.m3u8.mp4,172649
