group 00439, 1 videos, 75050 frames, use time 6.154746 seconds
group 00440, 1 videos, 344 frames, use time 0.083365 seconds
group 00441, 2 videos, 20212 frames, use time 3.507003 seconds
group 00442, 1 videos, 12577 frames, use time 1.198739 seconds
group 00443, 1 videos, 52685 frames, use time 6.978560 seconds
group 00444, 1 videos, 13646 frames, use time 3.482136 seconds
group 00445, 1 videos, 198 frames, use time 0.115922 seconds
group 00446, 1 videos, 796 frames, use time 0.292130 seconds
group 00447, 5 videos, 107326 frames, use time 36.404351 seconds
group 00448, 1 videos, 14372 frames, use time 1.821015 seconds
group 00449, 4 videos, 162862 frames, use time 17.319999 seconds
group 00450, 1 videos, 34644 frames, use time 11.403496 seconds
group 00451, 1 videos, 18771 frames, use time 1.904978 seconds
group 00452, 1 videos, 37646 frames, use time 3.739639 seconds
group 00453, 1 videos, 7579 frames, use time 0.651419 seconds
group 00454, 6 videos, 258864 frames, use time 31.467494 seconds
group 00455, 1 videos, 629 frames, use time 0.117787 seconds
group 00456, 6 videos, 202927 frames, use time 19.680927 seconds
group 00457, 11 videos, 117361 frames, use time 11.032039 seconds
group 00458, 2 videos, 6015 frames, use time 0.692091 seconds
group 00459, 3 videos, 221286 frames, use time 21.997413 seconds
group 00460, 1 videos, 114 frames, use time 0.034521 seconds
group 00461, 2 videos, 27679 frames, use time 3.854846 seconds
group 00462, 1 videos, 22066 frames, use time 1.991154 seconds
group 00463, 1 videos, 540 frames, use time 0.071099 seconds
group 00464, 4 videos, 46950 frames, use time 4.372736 seconds
group 00465, 4 videos, 71853 frames, use time 6.534178 seconds
group 00466, 1 videos, 9641 frames, use time 2.197601 seconds
group 00467, 1 videos, 64695 frames, use time 6.200316 seconds
group 00468, 2 videos, 99667 frames, use time 16.242704 seconds
