Room,Stream,Performer,Link
61351468041921800,61351467635712600,47682196185552100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351467635712681/hls/61351467635712681-47682196185552116r1470876694.m3u8
61353072927339500,61353068844819100,28280119248120200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61353068844819116/hls/61353068844819116-28280119248120260r1470877457.m3u8
61353072927339500,61353068844819100,28280119248120200,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61353068844819116/hls/61353068844819116-28280119248120260r1470877461.m3u8
61353950377829600,61353937176896100,50163229720061900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61353937176896179/hls/61353937176896179-50163229720061981r1470877884.m3u8
61354065612141500,61354061655454900,48337346409533100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354061655454911/hls/61354061655454911-48337346409533126r1470877931.m3u8
61354065612141500,61354061655454900,48337346409533100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354061655454911/hls/61354061655454911-48337346409533126r1470879342.m3u8
61354154376193300,61354154005635700,52683441243695100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354154005635764/hls/61354154005635764-52683441243695171r1470877975.m3u8
61354688944436200,61354673774277200,32951597816271600,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354673774277241/hls/61354673774277241-32951597816271694r1470878222.m3u8
61354688944436200,61354673774277200,32951597816271600,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354673774277241/hls/61354673774277241-32951597816271694r1470878379.m3u8
61354688944436200,61354673774277200,32951597816271600,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61354673774277241/hls/61354673774277241-32951597816271694r1470878415.m3u8
61355439169106900,61355438907594400,53272535766146600,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61355438907594417/hls/61355438907594417-53272535766146639r1470878587.m3u8
61355483544843300,61355482553523300,52865298207877100,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61355482553523383/hls/61355482553523383-52865298207877120r1470878608.m3u8
