Group_ID,Video_Index,Room,Session,Performer,Video_Name
1056,1,62273843359060300,62273842638244500,52001602971641600,62273842638244542-52001602971641694r1471316516.m3u8.mp4
1057,1,62274226835886400,62274212372421700,55101412352210500,62274212372421743-55101412352210556r1471316693.m3u8.mp4
1057,2,62274226835886400,62274212372421700,55101412352210500,62274212372421743-55101412352210556r1471317186.m3u8.mp4
1057,3,62274226835886400,62274212372421700,55101412352210500,62274212372421743-55101412352210556r1471317412.m3u8.mp4
1058,1,62274598608515100,62274594580482700,52868343920602700,62274594580482754-52868343920602753r1471316875.m3u8.mp4
1058,2,62274598608515100,62274594580482700,52868343920602700,62274594580482754-52868343920602753r1471317461.m3u8.mp4
1058,3,62274598608515100,62274594580482700,52868343920602700,62274594580482754-52868343920602753r1471318793.m3u8.mp4
1058,4,62274598608515100,62274594580482700,52868343920602700,62274594580482754-52868343920602753r1471319102.m3u8.mp4
1059,1,62276750393421900,62276737683167800,55318051895123800,62276737683167891-55318051895123844r1471317897.m3u8.mp4
1060,1,62277179279880300,62277171778949700,54865278076466100,62277171778949702-54865278076466138r1471318104.m3u8.mp4
1061,1,62277687457555300,62277683574229700,55204569197583700,62277683574229729-55204569197583765r1471318348.m3u8.mp4
1062,1,62278136568947500,62278117776956500,55579094410080600,62278117776956540-55579094410080624r1471318555.m3u8.mp4
1063,1,62278284128756600,62278283581985800,47682196185552100,62278283581985866-47682196185552116r1471318634.m3u8.mp4
1064,1,62278437791273300,62278433320744500,54874951441714700,62278433320744568-54874951441714704r1471318705.m3u8.mp4
1064,2,62278437791273300,62278433320744500,54874951441714700,62278433320744568-54874951441714704r1471321124.m3u8.mp4
1064,3,62278437791273300,62278433320744500,54874951441714700,62278433320744568-54874951441714704r1471321184.m3u8.mp4
1064,4,62278437791273300,62278433320744500,54874951441714700,62278433320744568-54874951441714704r1471321523.m3u8.mp4
1065,1,62281369584608100,62281355974679600,50163229720061900,62281355974679688-50163229720061981r1471320099.m3u8.mp4
1066,1,62282371362664600,62282369412896400,53387635432892200,62282369412896405-53387635432892295r1471320582.m3u8.mp4
1067,1,62284616896553900,62284600216404100,52553573812156600,62284600216404182-52553573812156601r1471321646.m3u8.mp4
1068,1,62285197616812500,62285191667782200,35552146497689300,62285191667782251-35552146497689326r1471321928.m3u8.mp4
1068,2,62285197616812500,62285191667782200,35552146497689300,62285191667782251-35552146497689326r1471323099.m3u8.mp4
1069,1,62287207915270300,62287203417462400,54359981935315800,62287203417462450-54359981935315870r1471322887.m3u8.mp4
1069,2,62287207915270300,62287203417462400,54359981935315800,62287203417462450-54359981935315870r1471323137.m3u8.mp4
1069,3,62287207915270300,62287203417462400,54359981935315800,62287203417462450-54359981935315870r1471327154.m3u8.mp4
1069,4,62287207915270300,62287203417462400,54359981935315800,62287203417462450-54359981935315870r1471327505.m3u8.mp4
1070,1,62287789375820200,62287767907877100,55579094410080600,62287767907877106-55579094410080624r1471323156.m3u8.mp4
1070,2,62287789375820200,62287767907877100,55579094410080600,62287767907877106-55579094410080624r1471323250.m3u8.mp4
1071,1,62289301833454000,62289285082005700,32750136595503500,62289285082005757-32750136595503502r1471323880.m3u8.mp4
1071,2,62289301833454000,62289285082005700,32750136595503500,62289285082005757-32750136595503502r1471327456.m3u8.mp4
1072,1,62289747054637200,62289742842052800,53568543410625400,62289742842052868-53568543410625422r1471324098.m3u8.mp4
1072,2,62289747054637200,62289742842052800,53568543410625400,62289742842052868-53568543410625422r1471324108.m3u8.mp4
1072,3,62289747054637200,62289742842052800,53568543410625400,62289742842052868-53568543410625422r1471325686.m3u8.mp4
1072,4,62289747054637200,62289742842052800,53568543410625400,62289742842052868-53568543410625422r1471325704.m3u8.mp4
1073,1,62291325274760100,62291304167519900,29998950421224700,62291304167519952-29998950421224725r1471324843.m3u8.mp4
